Variable,SpearmanRho
SynergyRank,1
Borda,0.7884557408064717
Markov,0.7719163602583207
MC1,0.784432177749846
MC2,0.7794204140809916
MC3,0.784432177749846
BMARC,0.7719163602583207
BMARCW,0.7721577983418326
CEMC_k,0.78637003321472
CEMC_s,0.7884557408064717
RankBoost,0.7842609638705919
BIRRA,0.7885196840001789
RRA,0.7555995886442358
A1,0.7298267300817097
A2,0.744963058788436
A3,0.7432569929492996
A4,0.752939654839515
A5,0.7281818808961361
B1,0.7065008114833455
B2,0.7449815912838852
B3,0.7266188511329459
B4,0.7278552217096623
B5,0.7531952101264429
C1,0.6755808522979655
C2,0.7273704305371623
C3,0.7086276349188433
C4,0.7081997351657594
C5,0.729716700463965
D1,0.7205640772745296
D2,0.7307196046350919
D3,0.7243430391169408
D4,0.725813901523592
D5,0.7332756026104311
E1,0.7214716948050782
E2,0.7114110849673827
E3,0.7271778245530004
E4,0.7432202287395411
E5,0.7268667709562096
