Variable,SpearmanRho
SynergyRank,1
Borda,0.7937078527691672
Markov,0.7784365037929983
MC1,0.7920669290323042
MC2,0.7881956302998528
MC3,0.7920669290323042
BMARC,0.7784365037929983
BMARCW,0.7787952727720364
CEMC_k,0.7925155315644223
CEMC_s,0.7937078527691672
RankBoost,0.792373819955093
BIRRA,0.7924547117253901
RRA,0.757812310503442
A1,0.7424278524165797
A2,0.7449291248918543
A3,0.7443032178630944
A4,0.7445391970182038
A5,0.7590308634788934
B1,0.6998006123201114
B2,0.754393263173662
B3,0.7196186938471543
B4,0.7186010897208419
B5,0.7183531769263602
C1,0.6744794683554612
C2,0.7142164011879882
C3,0.7216428650179951
C4,0.7303563991947757
C5,0.7503307860367571
D1,0.7113787643455199
D2,0.7531313198788185
D3,0.7521826719024127
D4,0.7457038682571877
D5,0.73858784705397
E1,0.7445731424472948
E2,0.7566232961047187
E3,0.6910766272960287
E4,0.746429470082525
E5,0.7338919087821641
