Variable,SpearmanRho
SynergyRank,1
Borda,0.7968842591341896
Markov,0.7888364274226644
MC1,0.7956057936007879
MC2,0.7938460291713688
MC3,0.7956057936007879
BMARC,0.7888364274226644
BMARCW,0.7888808125594233
CEMC_k,0.7967038237531457
CEMC_s,0.7968842591341896
RankBoost,0.7959001268369359
BIRRA,0.7943396223871101
RRA,0.7761497652912084
A1,0.7531267539133827
A2,0.7519745109467674
A3,0.7582977901454689
A4,0.7785776197803138
A5,0.7713627945515295
B1,0.7345123634026418
B2,0.760130073392715
B3,0.7524409848774317
B4,0.7556292988287442
B5,0.7769173338960188
C1,0.708261499681383
C2,0.7439318821315171
C3,0.746217850400122
C4,0.7347527211651205
C5,0.7518682703197479
D1,0.7334265193952418
D2,0.7564292715710728
D3,0.7497708688787441
D4,0.7523400761073646
D5,0.7444355292139443
E1,0.7265662390988457
E2,0.7642958805437925
E3,0.7438757916360262
E4,0.757369503972661
E5,0.7503776930006449
